date,product_no,product_name,quantity,revenue
2026-07-01,11,[최대 25% 할인] 트리플콜라겐 오렌지,2,283600
2026-07-01,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),6,1881800
2026-07-01,77,[25% 할인/공식몰 단독] 트리플샤인 포도 24주 (9+3박스),1,314100
2026-07-01,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,322200
2026-07-01,136,오니스트 파우치 세트,1,61680
2026-07-01,195,[최대 25% 할인] 케라그로우 망고,2,155010
2026-07-01,214,[Ownist Heart Edition] 오니스트 이너뷰티 3종 기프트 세트,1,86900
2026-07-01,225,[최대 25% 할인] 볼륨 시너지 세트,1,231180
2026-07-01,243,[한정기획] 트리플샤인 Gift Set (Garden Edition),1,57900
2026-07-01,244,[한정기획] 케라그로우 Gift Set (Garden Edition),1,57900
2026-07-01,260,트리플샤인 포도 최대 31% 할인 -  미니피님 구독자 Secret Event,6,728880
2026-07-01,261,트리플샤인 포도 최대 31% 할인 -  하요미님 구독자 Secret Event,2,459720
2026-07-02,11,[최대 25% 할인] 트리플콜라겐 오렌지,3,99760
2026-07-02,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),2,617600
2026-07-02,70,[최대 25% 할인] 트리플샤인 포도,1,129600
2026-07-02,136,오니스트 파우치 세트,1,67680
2026-07-02,165,[신규회원 전용] 오니스트 체험키트,1,0
2026-07-02,195,[최대 25% 할인] 케라그로우 망고,2,60310
2026-07-02,214,[Ownist Heart Edition] 오니스트 이너뷰티 3종 기프트 세트,3,256700
2026-07-02,223,[25% 할인/공식몰 단독] 볼륨 시너지 세트  12주 루틴 (6+6박스),1,302200
2026-07-02,253,[헤어루틴세트] 오니스트 케라그로우 14포 + 커리쉴 오일세럼 70ml + 헤어팩 100ml,1,56900
2026-07-03,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,22200
2026-07-03,214,[Ownist Heart Edition] 오니스트 이너뷰티 3종 기프트 세트,1,89900
2026-07-03,242,[한정기획] 트리플콜라겐 Gift Set (Garden Edition),1,59400
2026-07-03,261,트리플샤인 포도 최대 31% 할인 -  하요미님 구독자 Secret Event,1,56800
2026-07-04,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,136549
2026-07-04,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),3,927900
2026-07-04,70,[최대 25% 할인] 트리플샤인 포도,1,129851
2026-07-04,77,[25% 할인/공식몰 단독] 트리플샤인 포도 24주 (9+3박스),1,294100
2026-07-04,88,[최대 25% 할인] 글로우 시너지 세트,3,234020
2026-07-04,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,302200
2026-07-04,198,[25% 할인/공식몰 단독] 케라그로우 망고 24주 (9+3박스),1,294100
2026-07-04,223,[25% 할인/공식몰 단독] 볼륨 시너지 세트  12주 루틴 (6+6박스),1,302200
2026-07-05,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,30030
2026-07-05,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),5,1568500
2026-07-05,70,[최대 25% 할인] 트리플샤인 포도,1,129600
2026-07-05,88,[최대 25% 할인] 글로우 시너지 세트,1,65020
2026-07-05,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,299200
2026-07-05,136,오니스트 파우치 세트,1,64680
2026-07-05,165,[신규회원 전용] 오니스트 체험키트,1,0
2026-07-05,214,[Ownist Heart Edition] 오니스트 이너뷰티 3종 기프트 세트,1,0
2026-07-05,223,[25% 할인/공식몰 단독] 볼륨 시너지 세트  12주 루틴 (6+6박스),1,302780
2026-07-05,243,[한정기획] 트리플샤인 Gift Set (Garden Edition),1,55820
2026-07-05,261,트리플샤인 포도 최대 31% 할인 -  하요미님 구독자 Secret Event,1,93160
2026-07-06,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,36700
2026-07-06,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),3,941900
2026-07-06,88,[최대 25% 할인] 글로우 시너지 세트,1,100980
2026-07-06,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,302200
2026-07-06,195,[최대 25% 할인] 케라그로우 망고,1,126600
2026-07-06,261,트리플샤인 포도 최대 31% 할인 -  하요미님 구독자 Secret Event,1,236360
2026-07-07,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),2,640600
2026-07-07,15,오니스트 선물쇼핑백(L),1,2759
2026-07-07,70,[최대 25% 할인] 트리플샤인 포도,1,28410
2026-07-07,136,오니스트 파우치 세트,1,64680
2026-07-07,195,[최대 25% 할인] 케라그로우 망고,3,547300
2026-07-07,225,[최대 25% 할인] 볼륨 시너지 세트,1,68020
2026-07-07,243,[한정기획] 트리플샤인 Gift Set (Garden Edition),1,53400
2026-07-07,262,[Eternal Beauty] 글로우 시너지 Gift Set,1,65841
2026-07-08,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),1,304300
2026-07-08,195,[최대 25% 할인] 케라그로우 망고,1,129600
2026-07-09,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,136800
2026-07-09,77,[25% 할인/공식몰 단독] 트리플샤인 포도 24주 (9+3박스),1,294100
2026-07-09,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,299200
2026-07-10,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),4,1145595
2026-07-10,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),2,598400
